NAME                    READY   STATUS    RESTARTS   AGE
nginx-deployment-1      1/1     Running   0          2d
nginx-deployment-2      1/1     Running   1          2d
mysql-pod              0/1     Pending   0          1d
redis-cache            1/1     Running   0          12h
app-server             1/1     Running   2          1d
monitoring-agent       1/1     Running   0          3h
nginx-deployment-3     0/1     Error     3          1d
backup-job             0/1     Completed 0          6h
web-frontend           1/1     Running   1          8h
api-gateway            1/1     Running   0          4h
